NEGERI,DAERAH,LOKASI FDS,KK RUJUKAN (SENARAI FDS),JARAK FDS-KK (KM),NADI TERDEKAT,STATUS NADI,JARAK FDS-NADI (KM)
SARAWAK,LIMBANG,PA' BERUNUT,Klinik Kesihatan Long Semadoh,15.01,Ba’kelalan,OPEN,30.42
SARAWAK,LIMBANG,SG. ADANG,PKB LIMBANG,,Ba’kelalan,OPEN,35.31
SABAH,KOTA MARUDU,SONSONGAN MAKATOL,Tidak dinyatakan,,Kampung Ranau,OPEN,9.86
SABAH,NABAWAN,PANGARAAN,Tidak dinyatakan,,Kampung Lotong,OPEN,25.42
SABAH,PENAMPANG,BUAYAN,Tidak dinyatakan,,Pekan Babagon,OPEN,12.64
SABAH,PENAMPANG,KALANGGAAN,Tidak dinyatakan,,Pekan Babagon,OPEN,11.62
SABAH,PENAMPANG,LONGKOGUNGON,Tidak dinyatakan,,Kg. Toboh,OPEN,14.67
SABAH,PENSIANGAN,KARAMPALON,Tidak dinyatakan,,Kampung Lotong,OPEN,30.54
SABAH,RANAU,PANULONGON,Tidak dinyatakan,,Kampung Mesilou,OPEN,11.86
SABAH,PENSIANGAN,SALILIRAN,Tidak dinyatakan,,Kampung Lotong,OPEN,42.75
SABAH,PENSIANGAN,KABU,Tidak dinyatakan,,Kampung Lotong,OPEN,51.92
SABAH,NABAWAN,POHON BATU,Tidak dinyatakan,,Kampung Lotong,OPEN,30.13
SABAH,NABAWAN,BINANON,Tidak dinyatakan,,Kampung Lotong,OPEN,28.08
SABAH,NABAWAN,NANGKAWANGAN,Tidak dinyatakan,,Kampung Lotong,OPEN,27.37
SABAH,NABAWAN,BANTUL,Tidak dinyatakan,,Kampung Lotong,OPEN,40.92
SABAH,KOTA MARUDU,SONSOGON MUGIS,Tidak dinyatakan,,Kampung Desa Aman,UNDER RELOCATION,19.32
