fds_id,site_id,state,district,fds_name,fds_latitude,fds_longitude,nearest_nadi_id,nearest_nadi_name,nadi_latitude,nadi_longitude,distance_km,distance_band,nadi_operation_status,coordinate_basis,nearest_open_nadi_name,nearest_open_nadi_km
F073,S059,SARAWAK,MIRI,LONG SAIT,3.30537,115.19279,Q25,Long Banga (Long Beruang),3.203576,115.393507,24.99280992680047,red,UNDER RELOCATION,listed coordinates,Bario,56.96487184139308
F074,S060,SARAWAK,MIRI,RAMUDU,3.54188,115.55391,Q21,Bario,3.73976,115.46488,24.119564363412923,red,OPEN,listed coordinates,Bario,24.119564363412923
F075,S061,SARAWAK,MIRI,BA' AJENG,3.17698,115.0128,Q25,Long Banga (Long Beruang),3.203576,115.393507,42.37047971943188,red,UNDER RELOCATION,listed coordinates,Long Bedian,75.34354611062841
F076,S062,SARAWAK,MIRI,BA' LAMAM,3.20223,115.01969,Q25,Long Banga (Long Beruang),3.203576,115.393507,41.5019590044479,red,UNDER RELOCATION,listed coordinates,Long Bedian,73.13092865892806
F077,S063,SARAWAK,MIRI,LONG LAMAI,3.172,115.38608,Q25,Long Banga (Long Beruang),3.203576,115.393507,3.6066204856598136,green,UNDER RELOCATION,listed coordinates,Bario,63.73509239165346
F078,S064,SARAWAK,MIRI,LONG KERONG,3.28565,115.2129,Q25,Long Banga (Long Beruang),3.203576,115.393507,22.029692047696006,red,UNDER RELOCATION,listed coordinates,Bario,57.72205297826321
F079,S065,SARAWAK,MIRI,BA' PURAU,2.77181,114.94236,Q25,Long Banga (Long Beruang),3.203576,115.393507,69.38802352123277,red,UNDER RELOCATION,listed coordinates,Long Bedian,115.98914528748321
F080,S066,SARAWAK,MIRI,LONG PALAI,3.04275,114.85093,Q25,Long Banga (Long Beruang),3.203576,115.393507,62.840556799885405,red,UNDER RELOCATION,listed coordinates,Long Bedian,84.51760790313318
F081,S067,SARAWAK,MIRI,LONG TEBANGAN,3.36562,114.90118,Q19,Long Bedian,3.793308,114.730756,51.179714331098495,red,OPEN,listed coordinates,Long Bedian,51.179714331098495
F082,S068,SARAWAK,MIRI,BA' ABANG,3.38636,114.85163,Q19,Long Bedian,3.793308,114.730756,47.19702979883827,red,OPEN,listed coordinates,Long Bedian,47.19702979883827
F083,S069,SARAWAK,MIRI,BA' ITAM,3.46559,114.76565,Q19,Long Bedian,3.793308,114.730756,36.64579537290263,red,OPEN,listed coordinates,Long Bedian,36.64579537290263
F084,S070,SARAWAK,MIRI,LONG LIAU,3.13207,114.44014,Q31,Sungai Asap,3.054613,113.928508,57.45727339940664,red,OPEN,listed coordinates,Sungai Asap,57.45727339940664
F085,S071,SARAWAK,MIRI,LONG BUKEN,3.19891,114.42315,Q31,Sungai Asap,3.054613,113.928508,57.21571550575472,red,OPEN,listed coordinates,Sungai Asap,57.21571550575472
F086,S072,SARAWAK,MIRI,LONG BALAU,4.03713,115.10135,Q19,Long Bedian,3.793308,114.730756,49.24682314526072,red,OPEN,listed coordinates,Long Bedian,49.24682314526072
F087,S073,SARAWAK,MIRI,PA LUNGAN,3.81003,115.52229,Q21,Bario,3.73976,115.46488,10.081106683928432,red,OPEN,listed coordinates,Bario,10.081106683928432
F088,S074,SARAWAK,MIRI,LONG LUBANG,3.69563,115.27865,Q21,Bario,3.73976,115.46488,21.23892111717638,red,OPEN,listed coordinates,Bario,21.23892111717638
F089,S075,SARAWAK,MIRI,BA' PAKAN,3.5524,114.88093,Q19,Long Bedian,3.793308,114.730756,31.548132429655865,red,OPEN,listed coordinates,Long Bedian,31.548132429655865
