candidate_id,candidate_name,candidate_type,source,source_url,public_ownership_evidence,coordinate_basis,name_key,duplicate_of,country_boundary_flag,distance_to_fds_km,rank_by_distance,label,elevation_m,slope_deg,nearest_mapped_road_km,nearest_track_km,nearest_waterway_km,nearest_mapped_road_name,nearest_road_surface,nearest_road_access_tag,straightline_waterway_intersections,within_fds_5km,site_id,fds_name,state,longitude,latitude,feasibility
FDS_SCHOOL_S014,SK JU,school (FDS name; verify),Supplied FDS school-location name,data/fds_list.xlsx#Sheet1!row=20,school implied by FDS location name; verify existence and ownership,FDS coordinates; not independently located school,JU,NA,within Malaysia or boundary tolerance,1.2751468343171662e-12,1,C01,86.75282287597656,1.2408777475357056,0.06720499851415165,NA,8.9766776874523,,,,0,TRUE,S014,SK JU,SARAWAK,112.08288333333302,1.71046666666667,Candidate for field review; conversion suitability unverified
K0358,Klinik Kesihatan Maong (Mujok),Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2417,health-facility register; confirm property and operating status,supplied register coordinates,MAONGMUJOK,NA,within Malaysia or boundary tolerance,6.433552339257856,2,C02,80.46981048583984,12.128925323486328,0.9896997502480397,NA,4.171585587223326,,,,0,FALSE,S014,SK JU,SARAWAK,112.03309,1.7399699999999996,Candidate for field review; conversion suitability unverified
K0389,Klinik Kesihatan Nanga Ensiring,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2471,health-facility register; confirm property and operating status,supplied register coordinates,NANGAENSIRING,NA,within Malaysia or boundary tolerance,7.476702423537018,3,C03,102.31350708007813,0.9191979169845581,3.245704101333255,NA,7.107370869321618,,,,0,FALSE,S014,SK JU,SARAWAK,112.03503,1.6632099999999999,Candidate for field review; conversion suitability unverified
FDS_SCHOOL_S015,SK JAMBU,school (FDS name; verify),Supplied FDS school-location name,data/fds_list.xlsx#Sheet1!row=21,school implied by FDS location name; verify existence and ownership,FDS coordinates; not independently located school,JAMBU,NA,within Malaysia or boundary tolerance,4.420776245073199e-14,1,C01,87.295074462890625,5.9176554679870605,0.1358539758974132,0.4155545888406751,0.06266209145834796,,unpaved,,0,TRUE,S015,SK JAMBU,SARAWAK,111.936366666667,1.6706333333333296,Candidate for field review; conversion suitability unverified
K0390,Klinik Kesihatan Nanga Entabai,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2472,health-facility register; confirm property and operating status,supplied register coordinates,NANGAENTABAI,NA,within Malaysia or boundary tolerance,7.222019855927172,1,C01,45.294029235839844,6.535215854644775,0.2390793843017213,5.285963883231622,0.12228979912794818,,,,2,FALSE,S016,RH KIROH,SARAWAK,111.921208,1.7922279999999997,Candidate for field review; conversion suitability unverified
FDS_SCHOOL_S015,SK JAMBU,school (FDS name; verify),Supplied FDS school-location name,data/fds_list.xlsx#Sheet1!row=21,school implied by FDS location name; verify existence and ownership,FDS coordinates; not independently located school,JAMBU,NA,within Malaysia or boundary tolerance,5.4821126625320105,1,C01,86.62397766113281,5.444035530090332,0.1358539758974132,0.4155545888406751,0.06266209145834796,,unpaved,,1,FALSE,S017,RH JANTING,SARAWAK,111.936366666667,1.6706333333333296,Candidate for field review; conversion suitability unverified
K0293,Klinik Kesihatan Kemalih,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2236,health-facility register; confirm property and operating status,supplied register coordinates,KEMALIH,NA,within Malaysia or boundary tolerance,7.930764264546669,2,C02,105.33765411376953,1.506747841835022,0.0696513634902062,0.22292327719892002,0.01761086281780359,,,,1,FALSE,S017,RH JANTING,SARAWAK,111.82094,1.6498399999999998,Candidate for field review; conversion suitability unverified
K0504,Klinik Kesihatan Sungai Arip,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2791,health-facility register; confirm property and operating status,supplied register coordinates,SUNGAIARIP,NA,within Malaysia or boundary tolerance,8.792764844350941,1,C01,44.473384857177734,16.38798713684082,0.361604755675681,0.40407988276528845,2.5767158108885946,,unpaved,,0,FALSE,S020,RH ANSI,SARAWAK,112.662,2.7361899999999997,Candidate for field review; conversion suitability unverified
K0396,Klinik Kesihatan Nanga Jagau,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2478,health-facility register; confirm property and operating status,supplied register coordinates,NANGAJAGAU,NA,within Malaysia or boundary tolerance,9.959979454903783,1,C01,56.008644104003906,7.439115047454834,2.2322639574568632,2.29395991752891,0.05742818063117371,,,,3,FALSE,S027,RH. UNJAU POI,SARAWAK,112.30601,1.8595999999999995,Candidate for field review; conversion suitability unverified
K0396,Klinik Kesihatan Nanga Jagau,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2478,health-facility register; confirm property and operating status,supplied register coordinates,NANGAJAGAU,NA,within Malaysia or boundary tolerance,2.953884138177652,1,C01,55.82648468017578,8.18775749206543,2.2322639574568632,2.29395991752891,0.05742818063117371,,,,1,TRUE,S028,"RH. JARAU, JAGAU",SARAWAK,112.30601,1.8595999999999995,Candidate for field review; conversion suitability unverified
