NEGERI,DAERAH,PARLIMEN,DUN,LOKASI PERKHIDMATAN KLINIK BERGERAK,ORI_LATITUDE,ORI_LONGITUDE,LATITUDE,LONGITUDE,SASARAN JUMLAH LAWATAN DALAM SETAHUN,PERKHIDMATAN - JPL (YA/TIDAK),PERKHIDMATAN - MCH (YA/TIDAK),PASUKAN YANG MENJALANKAN PERKHIDMATAN KLINIK BERGERAK,MOD PERKHIDMATAN KLINIK BERGERAK (DARAT/ AIR/ UDARA),JARAK LOKASI KLINIK BERGERAK DENGAN LOKASI PASUKAN KLINIK BERGERAK - KM,JARAK LOKASI KLINIK BERGERAK DENGAN LOKASI PASUKAN KLINIK BERGERAK - JAM,JARAK LOKASI KLINIK BERGERAK DENGAN LOKASI PASUKAN KLINIK BERGERAK - MINIT,JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - NAMA FASILITI,JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - JARAK (KM),JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - JARAK (JAM),JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - JARAK (MINIT),KENDERAAN DARAT - 4WD,KENDERAAN DARAT - VAN,KENDERAAN DARAT - BUS,KENDERAAN AIR - BOT,KENDERAAN AIR - PERAHU PANJANG,KENDERAAN AIR - ENJIN BOT,KK RUJUKAN DIPADANKAN,JARAK GARIS LURUS FDS-KK (KM),NADI TERDEKAT,STATUS NADI,JARAK GARIS LURUS FDS-NADI (KM)
SARAWAK,SIBU,P. 214 SELANGAU,N.59 TAMIN,NANGA ARAU,N 02 18 29.5,E 112 34 0.9,2.30819444444444,112.566916666667,12,Ya,Tidak,FDS PKB SIBU,Udara,63,1,0,KK SELANGAU,63,1,0,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Selangau,35.97,Song,OPEN,33.16
SARAWAK,SIBU,P. 214 SELANGAU,N.59 TAMIN,( + RH BALANG ),N 02 18 29.5,E 112 34 0.9,2.30819444444444,112.566916666667,12,Ya,Tidak,FDS PKB SIBU,Udara,63,1,0,KK SELANGAU,63,1,0,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Selangau,35.97,Song,OPEN,33.16
SARAWAK,SIBU,P. 214 SELANGAU,N.59 TAMIN,( + RH SADOM ),N 02 18 29.5,E 112 34 0.9,2.30819444444444,112.566916666667,12,Ya,Tidak,FDS PKB SIBU,Udara,63,1,0,KK SELANGAU,63,1,0,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Selangau,35.97,Song,OPEN,33.16
SARAWAK,SIBU,P. 214 SELANGAU,N.43 NGEMAH,RH ANSI,N 02 48 21.1,E 112 37 28.4,2.80586111111111,112.624555555556,12,Ya,Tidak,FDS PKB SIBU,Udara,93,1,15,KK TATAU,93,1,15,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Tatau,26.86,Balingian,OPEN,16.40
SARAWAK,SIBU,P. 214 SELANGAU,N.43 NGEMAH,RH. ASUN,N 02 36 38.9,E 112 25 36.0,2.61080555555555,112.426666666667,12,Ya,Tidak,FDS PKB SIBU,Udara,48,0,45,KK SELANGAU,48,0,45,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Selangau,14.24,Tamin,OPEN,32.15
SARAWAK,SIBU,P. 214 SELANGAU,N.59 TAMIN,RH. SELIAU,N 02 16 28.6,E 112 25 46.0,2.27461111111111,112.429444444444,12,Ya,Tidak,FDS PKB SIBU,Udara,48,0,45,KK SELANGAU,48,0,45,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Selangau,30.27,Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",22.25
SARAWAK,SIBU,,,( + RH PENGUANG ),N 02 16 28.6,E 112 25 46.0,2.27461111111111,112.429444444444,12,Ya,Tidak,FDS PKB SIBU,Udara,48,0,45,KK SELANGAU,48,0,45,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Selangau,30.27,Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",22.25
SARAWAK,SIBU,,,( + RH SEMUKAU ),N 02 16 28.6,E 112 25 46.0,2.27461111111111,112.429444444444,12,Ya,Tidak,FDS PKB SIBU,Udara,48,0,45,KK SELANGAU,48,0,45,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Selangau,30.27,Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",22.25
SARAWAK,SIBU,P. 214 SELANGAU,N.59 TAMIN,RH. KIROH,N 02 13 48.5,E 112 12 37.1,2.23013888888889,112.210305555555,12,Ya,Tidak,FDS PKB SIBU,Udara,22,0,30,KK SEKUAU,22,0,30,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Sekuau,16.32,Kg Muhibbah,OPEN,14.28
SARAWAK,SIBU,P. 214 SELANGAU,N.59 TAMIN,RH. ENJAH,N 02 12 42.6,E 112 13 19.2,2.21183333333333,112.222,12,Ya,Tidak,FDS PKB SIBU,Udara,22,0,30,KK SEKUAU,22,0,30,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Sekuau,18.74,Kg Muhibbah,OPEN,13.26
